id	model
743	Infrastructure
747	Infrastructure
749	Pro 7150, HT1250 / LS UHF / VHF / Low Band, MTX8250LS 800, MT1000 UHF 403-470
751	MT1000 VHF 136-174
752	Portable
755	SABER I UHF SP
756	SABER III VHF SP
757	SABER III UHF SP
760	LCS2000
761	ASTRO Spectra Consolette, APX7500 Consolette
775	XTL1500 700/800
776	MaraTrac Low Band / UHF / VHF
777	SP50, XPR6300 UHF, XPR6580
778	Radius M216/14
779	GP350
780	R1225
790	MAXTRAC SMARTNET UV
792	CDM1550 Low Band
806	SL7590
808	Mobile
818	SPECTRA RR-CLEANCAB
833	SPECTRA RR-MCP
836	MSR2000
837	800 MHZ JSMR PORTABLE
839	Paging
841	HT1550XLS UHF & VHF
855	Data
863	MCX1000
866	Portable
867	GTX 800 / 900 800, XPR3500 UHF
869	M1225
870	Infrastructure
871	XPR7550 UHF
872	DP4801
877	Infrastructure
879	Infrastructure
891	HTX
921	MTX8250 / Pro 7550 / Pro 7750, MTX850 / 8250, MTX950 / 9250 900
922	Commercial Tier Mobile
977	XPR 6300, XPR 6850
